Search Terms,Categories,Sub-Categories
functional evaluation of,Purple,3.1.3 Functional Analysis
compared with,Purple,3.2.56 Compared with
The assessment of,Purple,3.1.19 Analysis
mutation analysis of,Purple,3.2.85 Mutation Analysis
molecular confirmation of the diagnosis,Purple,3.2.86 Molecular Analysis
numerous studies have,Purple,3.2.87 Substantial Evidence
accurate assessment of,Purple,3.2.88 Analysis providing accurate description
the integration of,Purple,3.2.89 Inclusiveness of
the development of,Purple,3.2.9 Development of
clinical genetic testing,Purple,3.2.91 Clinical Genetic Analysis
early monitoring,Purple,3.2.92 Early Monitoring
treatment intervention,Purple,3.2.93 Treating patients
o support risk calculations,Purple,3.2.94 Genetic risk assessments
treatment strategies.,Purple,3.2.95 Clinical Treatment Modalities
permit,Purple,3.2.96 Enable for
differential diagnosis,Purple,3.2.97 Distinguishing Diagnosis
the development of,Purple,3.2.98 Generation of
Proof-ofconcept studies,Purple,3.2.99 Evidence Generating Studies
These studies have been reviewed,Purple,3.3 Previously Analyzed
trials in,Purple,3.3.01 Clinical Trials
after pharmacological intervention,Purple,3.3.02 Intervention with pharmacological agent
further preclinical testing is required,Purple,3.3.03 More Preclinical Evidence Required
progression of research from,Purple,3.3.04 Improvement in research stages
proof-of-principle notion,Purple,3.3.05 Can serve as significant evidence
precision medicine treatments,Purple,3.3.06 Precisely treating mechanisms of disease in patients
has been assessed,Purple,3.3.07 Has been analyzed
This method of,Purple,3.3.08 Method of
through GWAS analysis,Purple,3.3.09 GWAS Analysis
analysed for,Purple,3.3.1 Assessed
inadequate systematic examination,Purple,3.3.11 Not sufficient evidence
functional genomics of,Purple,3.3.12 Functional Analysis of Genetic Variants
robustly analysed to,Purple,3.3.13 Properly Analyzed
via a combination of,Purple,3.3.14 Inclusion of
capture technologies.,Purple,3.3.15 Real Time Data
onto a joint platform,Purple,3.3.16 Collaborative Platform
The formation of the,Purple,3.3.17 Creation of
requisite for,Purple,3.3.18 Required
To investigate,Purple,3.3.19 To further research
the assessment of,Purple,3.1.19 Analysis
compared with,Purple,3.2.56 Compared with
the analysis of,Purple,3.3.22 The determination of
determination of,Purple,3.3.23 Identification of
aimed at,Purple,3.3.24 For the purpose of
tailored to,Purple,3.3.25 Specifically designed to
Specific examples,Purple,3.3.26 Includes
to examine,Purple,3.3.27 To Evaluate
to evaluate,Purple,3.3.27 To Evaluate
Employing a,Purple,3.3.29 Including
Long-term analyses,Purple,3.3.3 Comprehensive long-term analysis
might include the,Purple,3.3.31 Inclusive of
more holistic approach,Purple,3.3.32 complete Method
by combining,Purple,3.3.33 Combining
with comprehensive,Purple,3.3.34 Comprehensive
molecular-based classification,Purple,3.2.86 Molecular Analysis
In combination with,Purple,3.3.36 In combination with
tissue functioning and imaging,Purple,3.3.37 Multi-Modality
precisely categorize features,Purple,3.3.38 Describe important features
the development of,Purple,3.3.39 The creation of
evaluation of,Purple,3.3.4 Evaluation of
identification of,Purple,3.3.41 Detection of
Dysregulation of,Purple,3.3.42 Disruption of
molecular testing into,Purple,3.3.43 Molecular Testing
is a,Green,4.2.1 Mechanism Insights
can lead to,Green,4.2.02 Cause-Effect
Since the,Green,4.2.02 Cause-Effect
the development of,Green,4.2.04 Functional Role
substantially advanced,Green,4.2.05 Description
identification of,Green,4.2.06 Process
Although,Green,4.2.07 Alternatives
most often has an,Green,4.2.07 Alternatives
support a model,Green,4.2.01 Mechanisms Insights
in the detection of,Green,4.2.1 Index
underlying,Green,4.2.11 Detection
can help to identify,Green,4.2.12 Clinical Gap
the absence of any underlying,Green,4.2.05 Description
in which the,Green,4.2.14 Health Record
revealed no obvious reason,Green,4.2.15 Present Observation
with a discernible cause of,Green,4.2.16 Reported in patients
typically manifests in,Green,4.2.17 Clinical Manifestations
with worse,Green,4.2.18 Disease Onset
is frequently,Green,4.2.19 Absense of 
indicates the presence,Green,4.2.2 Frequency
resulting from,Green,4.2.17 Clinical Manifestations
which leads to,Green,4.2.02 Cause-Effect
has been reported,Green,4.2.02 Cause-Effect
is observed,Green,4.2.24 Human Genetics
ranging between,Green,4.2.2 Frequency
which reflects the,Green,4.2.26 Clinical Ratio
variability of,Green,4.2.17 Clinical Manifestations
been also observed,Green,4.2.28 Age of Onset
indicate that,Green,4.2.17 Clinical Manifestations
might influence,Green,4.2.3 New contribution
was established on the,Green,4.2.31 Location
leading to,Green,4.2.32 Contributes to
to determine,Green ,4.2.33 Results
identification of,Green,4.2.34 Detection
encoding,Green,4.2.35 Functional Role
independent validation,Green,4.2.36 Unbiased validation
is triggered by,Green,4.2.37 Cellular Process
activates a,Green,4.2.38 Activation
translocates to the,Green,4.2.37 Cellular Process
to regulate the,Green,4.2.37 Cellular Process
identification of,Green,4.2.41 Discovery
which have together established,Green,4.2.42 Determined
data indicate,Green,4.2.33 Results
is similar in both,Green,4.2.44 Similar Results
that result in,Green,4.2.33 Results
the vast majority of,Green,4.2.46 Frequency
lead to,Green,4.2.33 Results
owing to,Green,4.2.02 Cause-Effect
have been observed in,Green,4.2.33 Results
as a consequence of,Green,4.2.5 Possible cause
to be a result,Green,4.2.51 Resulting from
arose on distinct,Green,4.2.52 Genetic Location
the presence of,Green,4.2.53 Present Observation
are widely distributed,Green,4.2.54 Location
the majority are localized,Green,4.2.54 Location
encoded by,Green,4.2.04 Functional Role
functionally delineated by,Green,4.2.57 Genetic Map
to identify,Green,4.2.58 Localize
have identified,Green,4.2.59 Detection
which has been predicted to,Green,4.2.04 Functional Role
abrogate specificity for,Green,4.2.61 Prevent binding
the high frequency at,Green,4.2.62 Frequency of cases
indicates that,Green,4.2.63 Characterization
consolidates,Green,4.2.64 Evidence
as the primary,Green,4.2.02 Cause-Effect
is an established,Green,4.2.66 Contribution
led to the,Green,4.2.33 Results
detection of,Green,4.2.34 Detection
within the,Green,4.2.69 Genetic Analysis
were observed in,Green,4.2.34 Detection
presented with an,Green,4.2.17 Clinical Manifestations
whereas one had,Green,4.2.72 Patient Outlier
were not clustered,Green,4.2.73 Genetic Cluster
genetic data are reinforced by,Green,4.2.74 Evidence validation
clinically characterized,Green,4.2.63 Characterization
infrequently,Green,4.2.76 Frequency of Interaction
suggesting a,Green,4.2.77 Suggestive of
is caused by,Green,4.2.02 Cause-Effect
thus represent,Green,4.2.79 Contributes to
confirmed the existence of,Green,4.2.80 Confirmation
have been reported,Green,4.2.53 Present Observation
The vast majority of,Green,4.2.82 Frequency of Studies
are contained within the,Green,4.2.83 Genetic Localization
led to the,Green,4.2.84 Resulted in
identification of,Green,4.2.85 Discover
that were absent from,Green,4.2.86 Human Cohort
confirmed that,Green,4.2.80 Confirmation
markedly impaired,Green,4.2.88 Disrupted something
further validated by,Green,4.2.80 Confirmation
caused less severe,Green,4.2.9 Comparative Analysis
been defined,Green,4.2.91 New Definition
Taken together with the,Green,4.2.92 Added Evidence
which encodes,Green,4.2.04 Functional Role
these genetic findings underline,Green,4.2.94 Findings
underlying,Green,4.2.79 Contributes to
the development of,Green,4.2.02 Cause-Effect
for the detection of,Green,4.2.63 Characterization
established PAH as a,Green,4.2.63 Characterization
has led to the,Green,4.2.33 Results
which have been validated as,Green,4.2.64 Evidence
fall within,Green,4.3.01 Cellular Signalling
forming the,Green,4.3.02 Molecular Structure
signalling in,Green,4.2.37 Cellular Process
who were,Green,4.3.04 Previous Evidence
confirmed,Green,4.3.05 New Evidence
segregation of the,Green,4.3.06 Genomic Location
identification of,Green,4.3.06 Genomic Location
further confirmed a,Green,4.2.80 Confirmation
reported as a,Green,4.2.05 Description
on the basis of the,Green,4.3.1 Status Quo
identical to the,Green,4.2.90 Comparative Analysis
identified thus far,Green,"4.3.12 Commonplace, Past Evidence"
harboured in the,Green,4.3.06 Genomic Location
via the,Green,4.3.14 Mechanistic Insight
has indicated,Green,4.3.15 Indication
demonstrable impairment of,Green,4.3.16 Impairment
owing to,Green,4.3.17 Cause
leads to,Green,4.2.02 Cause-Effect
resulting in,Green,4.2.02 Cause-Effect
a reduction of the,Green,4.3.2 Diminished function
underlying,Green,4.2.32 Contributes to
a causal role for,Green,4.2.04 Functional Role
is consolidated by the,Green,4.2.64 Evidence
analogous to,Green,4.3.24 Comparable Manifestations
is essential for,Green,4.3.25 Essential
in the pathogenesis,Green,4.2.02 Cause-Effect
which encodes the,Green,4.2.32 Contributes to
is likely to be attenuated,Green,4.3.2 Diminished function
is regulated by,Green,4.3.29 Regulated by
providing a putative association with,Green,4.3.3 Association
have also been identified,Green,4.2.80 Confirmation
reported in,Green,4.3.32  Reported
this finding was supported,Green ,4.3.33 Line of Evidence
deleterious,Green,4.3.34 Disrupted with
showed a,Green,4.3.35 Demonstrated
loss of function of,Green,4.3.36 Function loss
the observed reduction in,Green,4.3.37 Reported Loss
was reversed after,Green,4.3.38 Rescue
identification of,Green,4.2.34 Detection
underlying,Green,4.3.4 Inclusive of
consolidate a causal role,Green,4.3.41 Causative Factor
the detection of,Green,4.2.34 Detection
deleterious,Green,4.3.43 Damaging
functional effects,Green,4.3.44 Functional Effects
have histological characteristics,Green,4.3.45 Histological Observations
that are indicative of,Green,4.3.46 Demonstrate
respond poorly to,Green,4.3.47 Little Response
are inherited in an,Green,4.3.48 Genetics
to identify,Green,4.2.34 Detection
which encodes,Green,4.2.04 Functional Role
were identified in,Green,4.2.34 Detection
activation of the,Green,4.3.01 Cellular Signalling
who did not have,Green,4.3.53 Did not carry
led to the,Green,4.2.02 Cause-Effect
identification o,Green,4.3.55 Determination
indicating that,Green,4.3.56 Indicating that
constitute a,Green,4.3.57 Constitutes something
a study that identified,Green,4.3.58 Study Findings
had clinical characteristics,Green,4.2.17 Clinical Manifestations
"Taken together,",Green,4.3.6 Altogether
has reduced,Green,4.3.61 Lowered
to detect,Green,4.2.34 Detection
confounded by,Green,4.3.63 Confounding
limited effect size,Green,4.3.64 Limited benefits
underlying,Green,4.3.65 Involved
now contingent,Green,4.3.66 Contingent on
is focussed on,Green,4.3.67 Focused on
confirmed,Green,4.2.80 Confirmation
with a mutation frequency of,Green,4.3.69 Frequency of Mutations
The distribution of variation across,Green,4.3.7 Variation Distribution
was identified in,Green,4.3.71 Discovered in
to identify,Green,4.3.72 To identify
detected statistically significant,Green,4.3.73 Detect Effects
deleterious,Green,4.3.74 Deleterious
ascribed to,Green,4.3.75 Ascribed to
additionally harbouring,Green,4.2.52 Genetic Location
putatively suggesting,Green,4.3.77 Could be due to
segregate with,Green,4.2.24 Human Genetics
also provided,Green,4.2.92 Added Evidence
prominent role for,Green,4.3.8 Important Contribution
identification of,Green,4.3.81 Identification
with high confidence scores,Green,4.3.82 High Confidence
deleterious,Green,4.3.74 Deleterious
was confirmed in,Green,4.3.84 Confirmed in
were detected in,Green,4.2.34 Detection
a role for,Green,4.2.04 Functional Role
involved in,Green,4.3.65 Involved
is highly expressed,Green,4.3.88 Highly expressed
represents a,Green,4.3.89 Represents
strong candidate for,Green,4.3.65 Involved
identified in,Green,4.3.91 Found in
indicating a,Green,4.3.92 Indicating
promotes,Green,4.3.93 Induces
have demonstrated,Green,4.3.94 Provides Evidence 
is initiated,Green,4.3.95 Initiated
which subsequently results,Green,4.3.96 As a result of
which encodes,Green,4.3.97 Functional Output
indicate that,Green,4.3.98 Indicate
abrogation of,Green,4.3.99 Abrogation of
results in,Green,4.4 Results in
an attenuation of,Green,4.4.01 Attentuation of
have impaired,Green,4.4.02 Impaired
elevated,Green,4.4.03 Elevated
promote,Green,4.4.04 Induce
upregulation of the,Green,4.4.05 Increased level
detected in,Green,4.4.06 Identified in
or abrogation of,Green,4.4.07 Disruption of
interaction,Green,4.4.08 Physical Connection
depends on,Green,4.4.09 Since
to activate the,Green,4.4.1 Activate
as a major risk factor in,Green,4.4.11 Leading factor
also provided independent validation,Green,4.2.80 Confirmation
were detected in,Green,4.4.13 Localization
the vast majority,Green,4.4.14 Frequency in Population
identified,Green,4.4.15 Found
revealed an,Green,4.4.16 Discovered
deleterious,Green,4.4.17 Disruptive
indicating a key role,Green,4.2.04 Functional Role
the regulation of,Green,4.4.19 Regulation of
exact mechanisms by which,Green,4.4.2 Exact pathway
encodes,Green,4.4.21 Expresses
a potent inhibitor of,Green,4.4.22 Strong Inhibitor
is processed by,Green ,4.3.29 Regulated by
secreted as a,Green,4.4.24 Secreted as
revealed,Green,4.4.25 Showed
reduce,Green,4.3.61 Lowered
demonstrated significantly reduced,Green,4.3.35 Demonstrated
of these findings,Green,4.4.28 Findings with Supported Evidence
were also,Green,4.4.29 were also seen to
comprising,Green,4.4.3 Comprising
into the distinct,Green,4.4.31 Unique manifestations
focused,Green,4.4.32 Focused
have conspicuous differences,Green,4.4.33 Clear differences
"Specifically,",Green,4.4.34 Important
poor survival,Green,4.4.35 Poor survival
resistance to,Green,4.4.36 Resistance to
distinct genetic aetiology,Green,4.4.37 Genetic Causes
have established,Green,4.2.42 Determined
major risk factor,Green,4.4.39 Major contributor to
having a prominent role,Green,4.4.4 Important role
in conferring susceptibility,Green,4.4.41 Increased probability
revealed a,Green,4.3.35 Demonstrated
substantial enrichment of,Green,4.4.43 Enrichment
been identified,Green,4.4.06 Identified in
prominent risk factor,Green,4.4.45 Important contributor to
characterized by,Green,4.4.46 Characterized by
have been described,Green,4.4.47 Described as
with or without,Green,4.4.48 Not necessary
provide compelling evidence,Green,4.4.49 Convincing evidence
genetic risk in,Green,4.4.5 Genetic Risk
is expressed in,Green,4.4.51 Expressed in
associated with,Green,4.3.3 Association
typically result,Green,4.4.53 Typically Result
genotype-phenotype correlation,Green,4.4.54 Genotype-Phenotype
identified a,Green,4.4.06 Identified in
deleterious,Green,4.3.74 Deleterious
occurring at a,Green,4.2.52 Genetic Location
within a,Green,4.4.13 Localization
deleterious,Green,4.3.43 Damaging
distributed across,Green,4.4.6 Distribution across the gene
Expression of,Green,4.4.61 Expression of
decreased the function,Green,4.3.2 Diminished function
mechanistically described,Green,4.4.63 Cellular Mechanism
resulted in the recovery of,Green,4.4.64 Contributed to
determinant of,Green,4.4.65 Contributor to
key to,Green,4.4.66 Key to
pathogenesis of the,Green,4.4.67 Pathogenesis
constituting the,Green,4.4.68 Being part of
most substantive risk factor,Green,4.4.69 Contributing Risk Factor
deleterious,Green,4.3.43 Damaging
without identifiable,Green,4.4.06 Identified in
an association,Green,4.3.3 Association
was identified with,Green,4.4.73 was found between
was independently replicated,Green,4.4.74 Replicated
was associated with a,Green,4.3.3 Association
increased risk of,Green,4.4.76 Increased Risk
encodes the,Green,4.4.77 Encodes
which is predominantly,Green,4.4.78 Present in
expressed in the,Green,4.4.79 Localized to
expression in the,Green,4.4.8 Expression in
significantly higher,Green,4.4.81 Significantly higher
as predominantly expressed in,Green,4.4.82 Mostly produced
poorly expressed in,Green,4.4.83 Poor Expression
a significant reduction in,Green,4.4.84 Significant Reduction
"in a dose-dependent manner,",Green,4.4.85 Dose dependent
in the physiopathology,Green,4.4.86 Physiopathology
led to the,Green,4.2.02 Cause-Effect
validation of,Green,4.4.88 Validation of
located,Green,4.4.79 Localized to
Odds ratios obtained from,Green,4.4.9 Odds ration
increased immunoreactivity,Green,4.4.91 Immunoreactivity
therapeutic target for,Green,4.4.92 Targeted for pharmacological intervention
owing to,Green,4.4.93 Owing to
which involved,Green,4.4.94 Which included
attaining genome-wide significance,Green,4.4.95 Genomewide Significance
