,before,word,after
99," Keywords endothelial glycocalyx; Cardiovascular Diseases; syndecan-1 (sdc1) INTRODUCTION Endothelial cells are covered with abundant proteoglycan complexes known as “endothelial  glycocalyx (eGC),” which is ",comprise,"d of transmembrane core proteins known as  syndecans, and polymers of glycosaminoglycans such as heparin sulfate, chondroitin sulfate,  and hyaluronans that branch from the highly sulfated and negatively-charged syndecan  cores"
100, Author Manuscript Author Manuscript Author Manuscript Author Manuscript ,activation of the," coagulation system, which were attenuated by infusion of N-acetylcysteine"
101," In particular, rapid freezing  of endothelial cells and use of a novel fixation solution, such as lanthanium (III)-nitrate/ glutaraldehyde, ",revealed," a thicker layer of eGC ex vivo , which was more efficacious  compared to preparation with a conventional fixation method for microscopic analysis [ 35,  52]"
102," Contrary to the classical principle of Ernest Starling, ",in which the," oncotic  pressure difference between the intravascular and the interstitial tissue matters, the thin  protein-free zone of eGC was suggested to play greater role in the control of vascular  permeability [ 37]"
103, ,among the," endothelial glycocalyx (eGC) constituents,  syndecan-1 (sdc1) is a main component, and an elevated serum level of sdc1 may indicate the  degradation of eGC"
104," Among the endothelial glycocalyx (eGC) constituents,  syndecan-1 (sdc1) is a main component, and an ",elevated, serum level of sdc1 may indicate the  degradation of eGC
105, ,elevated, serum sdc1 in  hematologic malignancies was also associated with poor prognosis [ 18–21]
106," One study  reported that the progression of atherosclerosis was favored by an increase in chondroitin  sulfate in the arterial walls [ 40], while another reported that serum soluble sdc1 was  significantly ",elevated," in patients with acute coronary syndrome, suggesting a contributory  effect of eGC damage to atherosclerotic plaque vulnerability [ 41]"
107, Although the ,elevated, eGC  constituents in serum (i
108," Perhaps, it may be worth focusing on the  mechanism of how the degradation of the eGC, represented by ",elevated," serum soluble sdc1,  leads to adverse cardiovascular events or vice versa , rather than solely investigating sdc1  outcomes predictability"
109," In another study,  patients who underwent major surgery had ",elevated, serum sdc1
110, Author Manuscript Author Manuscript Author Manuscript Author Manuscript reclassification ,improve,ments (cNRI) were only 0
111," Shedding of syndecan-1 and endothelial dysfunction in heart failure Although new validation tests are gaining popularity in studies exploring new biomarkers,  the studies mentioned above did not demonstrate high C-statistics, and the ",improve,ment of  net reclassification was only moderate
112," BNP or NT- proBNP), although addition of novel biomarkers to the traditional diagnostic model may  ",improve, discriminative ability
113, Net reclassification  ,improve,"ment: computation, interpretation, and controversies: a literature review and clinician’s  guide"
114, Extensions of net reclassification ,improve,ment  calculations to measure usefulness of new biomarkers
115, Effect of transfusion of fresh frozen plasma on parameters  of endothelial condition and inflammatory status in non-bleeding ,Critically, ill patients: a  prospective substudy of a randomized trial
116, Endothelial glycocalyx in non-cardiovascular disease Inflammation— ,In addition to," increased porosity of the eGC during mild inflammation,  proteases from activated neutrophils and severely traumatized tissue promote breakdown of  the eGC"
117, ,In addition to," the electrostatic  interaction between albumin and eGC, sphingosine-1 phosphate (S1P)-mediated restoration  of the eGC was suggested"
118," Among the endothelial glycocalyx (eGC) constituents,  syndecan-1 (sdc1) ",is a," main component, and an elevated serum level of sdc1 may indicate the  degradation of eGC"
119, Deformation of cortical cytoskeleton by such mechanotransduction ,is a,ssumed to  initiate the various chains of intracellular signaling as well as nitric oxide production [ 5–7]
120, Human and Animal Rights and Informed Consent Th,is a,rticle does not contain any studies with human or animal subjects performed by any of the authors
121, The  following ,is a, review of studies evaluating the clinical impact of measured eGC in  cardiovascular and non-cardiovascular diseases and endeavor to illuminate the future  direction of investigation
122, Syndecan-1 (sdc1) is the most  investigated constituent of the cell surface glycocalyx in the area of cancer prognos,is a,nd  trauma related inflammation [ 11]
123, Overexpression  of sdc1 in stromal fibroblasts or shedding of sdc1 from the cells into tumor  microenvironments was associated with accelerated angiogenes,is a,nd cancer progression
124, This  mechano-transduction ,is a,"ssumed to initiate the chain of intracellular signaling, such as  nitric oxide production, and can be estimated by FMD [ 5, 6]"
125,"7 g to as much as 14 g, when the thickness of eGC ",is a,ssumed to range from 0
126," Additionally, the increase in endothelial permeability ",is a,nother important area to be  explored
127, The synthesis of glycocalyx components ,is a,lso affected by mechano-transduction of the  fluid shear stress on the cell surface
128," With the increasing prevalence of heart  failure among ageing populations and necessity for developing diverse diagnostic and  treatment methods, the role of the eGC ",is a, fascinating and potentially beneficial area that  requires further investigation
129, Heparan sulfate proteoglycan ,is a,  mechanosensor on endothelial cells
130," A high admission syndecan-1 level, a  marker of endothelial glycocalyx degradation, ",is a,"ssociated with inflammation, protein C depletion,  fibrinolysis, and increased mortality in trauma patients"
131, Enhanced stromal syndecan-1 expression ,is a,n independent  risk factor for poor survival in bladder cancer
132," Heparanase influences expression and shedding of  syndecan-1, and its expression by the bone marrow environment ",is a, bad prognostic factor in  multiple myeloma
133, Upregulation of  Syndecan-1 in the bone marrow microenvironment in multiple myeloma ,is a,ssociated with  angiogenesis
134, Molecular and clinical profiles of syndecan-1 in solid and  hematological cancer for prognos,is a,nd precision medicine
135, The  differential distribution of hyaluronic acid in the layers of human atheromatic aortas ,is a,ssociated  with vascular smooth muscle cell proliferation and migration
136, Acute myocardial infarction  ,is a,ssociated with endothelial glycocalyx and cell damage and a parallel increase in circulating  catecholamines
137, Role of the  vascular wall in sodium homeostas,is a,nd salt sensitivity
138,"4%,  ADHFRetrospective cohort,  comparison among  syndecan-1, GFR and  mortalityDuring ED admission,  syndecan-1, hsCRP,  ICAM-1, NO, BNPIn-hospital mortality, 6- months mortalitySyndecan-1 ",is a,"ssociated with  AKI development, associated  with 6 month mortalityNo functional data (e"
139, ,"in particular,"," rapid freezing  of endothelial cells and use of a novel fixation solution, such as lanthanium (III)-nitrate/ glutaraldehyde, revealed a thicker layer of eGC ex vivo , which was more efficacious  compared to preparation with a conventional fixation method for microscopic analysis [ 35,  52]"
140, Syndecan-1 (sdc1) is the most  investigated constituent of the cell surface glycocalyx in the area of cancer prognos,is an,d  trauma related inflammation [ 11]
141, Overexpression  of sdc1 in stromal fibroblasts or shedding of sdc1 from the cells into tumor  microenvironments was associated with accelerated angiogenes,is an,d cancer progression
142," Additionally, the increase in endothelial permeability ",is an,other important area to be  explored
143, Enhanced stromal syndecan-1 expression ,is an, independent  risk factor for poor survival in bladder cancer
144, Molecular and clinical profiles of syndecan-1 in solid and  hematological cancer for prognos,is an,d precision medicine
145, Role of the  vascular wall in sodium homeostas,is an,d salt sensitivity
146," Endothelial glycocalyx in non-cardiovascular disease Inflammation— In addition to increased porosity of the eGC during mild inflammation,  proteases from activated neutrophils and severely traumatized tissue ",promote, breakdown of  the eGC
147, These findings suggested that soluble sdc1 may both ,promote,  angiogenesis [ 14] and may be used to treat cardiovascular diseases
148, Heparanase-enhanced shedding of syndecan-1 by  myeloma cells ,promote,s endothelial invasion and angiogenesis
149, Syndecan-1 expression by stromal fibroblasts ,promote,s breast  carcinoma growth in vivo and stimulates tumor angiogenesis
150, Hemodynamic shear stress characteristic of  atherosclerosis-resistant regions ,promote,s glycocalyx formation in cultured endothelial cells
151,"  assigned 120 hypertensive patients to two groups, ",Based on, the  presence of heart failure and investigated C-statistics of various combinations of biomarkers  for the diagnosis of heart failure [ 43]
152," The  Langendorf model of isolated guinea pig hearts demonstrated that degradation of the eGC  led to reduced endothelial barrier function and extravasation of administered starch, which  seems ",analogous to, the fluid shift to the third space as observed in patients with heart failure  [35–37]
153, Upregulation of  Syndecan-1 in the bone marrow microenvironment ,in multiple, myeloma is associated with  angiogenesis
154, Heparanase-enhanced shedding of syndecan-1 by  myeloma cells ,promotes, endothelial invasion and angiogenesis
155, Syndecan-1 expression by stromal fibroblasts ,promotes, breast  carcinoma growth in vivo and stimulates tumor angiogenesis
156, Hemodynamic shear stress characteristic of  atherosclerosis-resistant regions ,promotes, glycocalyx formation in cultured endothelial cells
157," One study  reported that the progression of atherosclerosis was favored by an increase in chondroitin  sulfate in the arterial walls [ 40], while another reported that serum soluble sdc1 was  significantly elevated in patients with acute coronary syndrome, ",suggesting a, contributory  effect of eGC damage to atherosclerotic plaque vulnerability [ 41]
158,"6 ng/mL was about 1:4, ",suggesting a, rapid decrease of  serum soluble sdc1 levels when compared to the previous study [ 46]
159, Author Manuscript Author Manuscript Author Manuscript Author Manuscript Although a growing body of evidence shows degradation of eGC ,leads to," adverse  cardiovascular events, the studies on eGC in the clinical setting remain limited"
160," Perhaps, it may be worth focusing on the  mechanism of how the degradation of the eGC, represented by elevated serum soluble sdc1,  ",leads to," adverse cardiovascular events or vice versa , rather than solely investigating sdc1  outcomes predictability"
161," In mouse cremaster venules,  destruction of eGC by infusion of heparinase or oxidized low density lipoprotein cholesterol  (ox-LDL) ",leads to," increase in the number of adherent leukocytes to the endothelial surface,  which was partially reversed by infusion of heparin sulfate"
162," Erythrocytes labeled with sodium fluorescein, which is  impermeable to the eGC, are used to quantify circulating plasma volume not ",include,d in the  eGC layer
163," dextran 40) are used to quantify total intravascular  volume, which ",include,s the eGC layer [ 49]
164," Apart from the potential shedding mechanism mentioned above, there are many potential  “sheddases,” which ",include,"s tryptase, elastase, proteinase-3, thrombin, tissue-type  plasminogen activator, plasmin, cathepsin B, hyaluronidase, etc"
165, Shed Syndecan-1 is involved in chemotherapy resistance ,via the,  EGFR pathway in colorectal cancer
166," Cancer epidemiology, biomarkers &  prevention: a publication of the Americ",an association," for Cancer Research, cosponsored by the  American Society of Preventive Oncology"
167, Release of TNF-alpha during  myocardial reperfusion ,depends on, oxidative stress and is prevented by mast cell stabilizers
168," Tumors— In most tumors, reduced expression of sdc1 in epithelial-origin tumor cells was  associated with less adhesion of the cells to the extracellular matrix, ",leading to," increased cell  migration/invasion, and eventually poor clinical outcomes [ 16, 17]"
169," [ 45, 47] In addition, the interpretation of the tests  requires special attention because the application of C-statistics often eliminates established  risk factors from new models [ 60, 61], and net reclassification is often positive for even  weak markers, ",leading to, overestimation of the real risk
170,"), and degraded eGC are associated with altered vascular  permeability and resistance, systemic edema, hypovolemia and multi-organ dysfunction,  ",leading to," poor clinical outcomes [ 90, 91]"
171, Hypoxia and reoxygenation ,lead to,"  degradation of eGC, aided by mast cells"
172, Enhanced stromal syndecan-1 expression is an independent  risk factor for ,poor survival, in bladder cancer
173," Wilson Tang,  MD Abstract The endothelial surface layer is covered with abundant proteoglycans, ",of which, syndecans and  glycosaminoglycans are major constituents
174,"  also prospectively observed 2,033 patients with acute heart failure, after  stabilization during hospital stay, ",of which, 17
175, used the double tracer method ,to demonstrate, that acute normo- insulinemic hyperglycemia reduced the systemic total eGC volume from 1
176, Shed Syndecan-1 is ,involved in, chemotherapy resistance via the  EGFR pathway in colorectal cancer
177," In patients with ischemic heart disease or heart failure, elevation of serum  sdc1 has been ",associated with, worsening cardiac and renal function; however the causal  relationship between degradation of eGC and clinical outcomes is unclear
178," Tumors— In most tumors, reduced expression of sdc1 in epithelial-origin tumor cells was  ",associated with," less adhesion of the cells to the extracellular matrix, leading to increased cell  migration/invasion, and eventually poor clinical outcomes [ 16, 17]"
179, Elevated serum sdc1 in  hematologic malignancies was also ,associated with, poor prognosis [ 18–21]
180, Overexpression  of sdc1 in stromal fibroblasts or shedding of sdc1 from the cells into tumor  microenvironments was ,associated with, accelerated angiogenesis and cancer progression
181," In the  same study, adrenaline was ",associated with, both 30-day mortality and heart failure  development [ 42]
182,  Higher serum soluble sdc1 was also ,associated with, more frequent renal dysfunction during  hospitalization [ 46]
183," After adjustment for several clinical  variables and endothelial function biomarkers (ICAM-1 and e-selectin), only sdc1 was  independently ",associated with, FMD [ 67]
184,"), and degraded eGC are ",associated with," altered vascular  permeability and resistance, systemic edema, hypovolemia and multi-organ dysfunction,  leading to poor clinical outcomes [ 90, 91]"
185, As increased serum-soluble syndecan in patients with heart failure was ,associated with,"  adverse clinical outcomes, preservation of eGC is thought to have a protective effect on  cardiovascular systems"
186," A high admission syndecan-1 level, a  marker of endothelial glycocalyx degradation, is ",associated with," inflammation, protein C depletion,  fibrinolysis, and increased mortality in trauma patients"
187, Upregulation of  Syndecan-1 in the bone marrow microenvironment in multiple myeloma is ,associated with,  angiogenesis
188, High syndecan-1 levels in acute  myeloid leukemia are ,associated with," bleeding, thrombocytopathy, endothelial cell damage, and  leukocytosis"
189, Acute myocardial infarction  is ,associated with, endothelial glycocalyx and cell damage and a parallel increase in circulating  catecholamines
190, Measurement uncertainties ,associated with, the use of bright-field and  fluorescence microscopy in the microcirculation
191, Persistent microcirculatory alterations are  ,associated with, organ failure and death in patients with septic shock
192,"4%,  ADHFRetrospective cohort,  comparison among  syndecan-1, GFR and  mortalityDuring ED admission,  syndecan-1, hsCRP,  ICAM-1, NO, BNPIn-hospital mortality, 6- months mortalitySyndecan-1 is ",associated with,"  AKI development, associated  with 6 month mortalityNo functional data (e"
193,Doubling of syndecan was  ,associated with," pri/sec end  points only in HFpEF (n=107),  not in HFrEF(n=353), syndecan-  1 associated with cardiac  fibrosis markers"
194, ,associated with,  only HFpEF patients
195,"Differential sex association  between biomarkers and  mortality, syndecan was  significantly ",associated with,"  mortality in women, marginally  in men"
196, ,associated with,  only women
197,syndecan-4 are ,associated with,"  future LVEF, LV dimension"
198,"  [42]Denmark, 571  patients, STEMIProspective cohort During primary PCI,  adrenalin, noradrenalin,  syndecan-1, soluble  thrombomodulin30day all-cause mortality CV  mortality, Re-MI, HFadrenalin was ",associated with,"  30day mortality, syndecan was  marginally associated with only  30days HF admission (p=0"
199, Areas awaiting ,further investigation," Evaluation of the amount of endothelial glycocalyx in situ —Due to optical  transparency and fragility of eGC, in vivo  virtual characteristics were primarily inferred  through existence of the “exclusion zone” of erythrocytes in the blood-perfused  microvessels, which is observed with light microscopy [ 49, 50]"
