,before,word,after
81, The contribution of pericytes to ,the regulation of," microvascular function,  especially at the level of the capillaries, is just beginning to come into its own"
82," These cells  are referred to in the early literature as Rouget cells and discussed heavily by Krogh [ 65],  with respect to their roll in participating in ",the regulation of, capillary blood flow
83, Gender differences in ,the regulation of, blood pressure
84, A ,comparison of, ex vivo cytokine production in venous  and capillary blood
85, Secretory phenotypes of endothelial cells in culture: ,comparison of,"  aortic, venous, capillary, and corneal endothelium"
86, ,Analysis of," protein clearing into the suffusate demonstrated lower  total protein clearance and no difference albumin clearance, for males and females,  respectively"
87, Diabetes as a risk factor for stroke in women compared  with men: a systematic review and meta-,Analysis of," 64 cohorts, including 775,385 individuals and  12,539 strokes"
88, Arterioles in mammals are  <100 μm in diameter (in situ resting tone results in diameters ,ranging between, 15 and 40  μm) [ 97]
89," The amount of fluid or solute moved across the endothelial barrier is a function of the  architecture of the pathways through and between the endothelial cells, the surface area for  exchange, and the physicochemical properties of the barrier media (",including the," glycocalyx  at the blood/EC interface and the extracellular matrix at the luminal and abluminal surfaces,  respectively) and of the moving material (where size, shape, and charge can be influential)"
90," In fact,  EC shape is a function of the composition of the substrata on or ",in which the,"y are grown  [73, 101]"
91, ,among the," factors implicated in this difference are estrogen  and its interactions with EC and WBC [ 83], estrogen receptor distribution [ 106], sex  differences in glucocorticoid action [ 17], and inflammatory status [ 9], to name but a few  identified factors"
92, It was suggested an increased release of NO and/or ,elevated," eNOS activity  related to the higher levels of estrogen in the female animals could account for the reduction  in myogenic response [ 42, 126]"
93," At the level of the mesenteric microvasculature, though, arteriolar  reactivity, while reduced in males, remained unchanged by CH in females; eNOS protein  expression in these vessels was unchanged although EC calcium was ",elevated, in CH females  compared to controls [ 34]
94, This consideration of  multiple variables controlled by microvascular cerebral vessel function is especially  important as a reduced response to hypercapnia is associated with ,elevated," risk of stroke and  increased cognitive decline, two identified sexually dimorphic risk factors [ 78]"
95, ,elevated," resistance, of course,  leads to increased systemic blood pressure upstream of the arterioles and reduction of blood  flow and hydrostatic pressure in the exchange microvessels downstream from the arterioles"
96, ,In addition to," the anatomical differences, sexual dimorphism exists with respect to the  mediators of microvascular tone and pharmacological responses to vasoactive drugs verified  in clinical studies using male subjects [ 86]"
97, The microvessels are also the sites most likely to  experience changes in function early in the development of numerous acute life-threatening  conditions such as seps,is a,"nd disseminated intravascular coagulation (DIC) [ 28, 36, 68] to  chronic diseases spanning from diabetes, obesity, and Alzheimer’s to heart failure [ 22, 41,  52, 67, 82, 113]"
98, The glycocalyx ,is a,"lso present on the venular endothelial cells; in addition  to participating as a resistor to solute and fluid flux, the structure limits access to endothelial  ligands mediating not only receptor access but also white cell interactions [ 70]"
99, While  there ,is a," more recent study of collecting and capillary lymphatic (the lymphatic vessels of  sizes and distributions similar to the systemic microvessels) function, consideration of sex  has received only passing interest"
100," In turn, EC dysfunction  ",is a," feature common to multiple chronic diseases including diabetes mellitus, heart failure,  and stroke"
101," In fact,  EC shape ",is a," function of the composition of the substrata on or in which they are grown  [73, 101]"
102, The conclusion from the majority of studies is  that the adaptation ,is a," successive process of first increasing arteriolar tone to protect the  downstream vessels from increases in capillary pressure, followed by structural remodeling  of the arteriolar wall replacing VSM with matrix to maintain a fixed reduction in diameter,  and finally vessel pruning (rarefaction)"
103," In human females, CHD ",is a," microvascular disease which manifests by  increased arteriolar constriction and vasospasm not generally found in males [ 81, 91, 108]"
104,"  In contrast, CHD in males ",is a, macrovascular disease characterized by the presence of  coronary occlusion and deposition of plaque [ 23]
105," An important  consideration pointed out by Barnes [ 7] is that when sex differences in MAP and vascular  architecture are considered along with the differences in responses to hypercapnia, cerebral  blood flow in young women ",is a,ctually lower than age-matched men
106, This consideration of  multiple variables controlled by microvascular cerebral vessel function is especially  important as a reduced response to hypercapnia ,is a,"ssociated with elevated risk of stroke and  increased cognitive decline, two identified sexually dimorphic risk factors [ 78]"
107, The amount of fluid or solute moved across the endothelial barrier ,is a," function of the  architecture of the pathways through and between the endothelial cells, the surface area for  exchange, and the physicochemical properties of the barrier media (including the glycocalyx  at the blood/EC interface and the extracellular matrix at the luminal and abluminal surfaces,  respectively) and of the moving material (where size, shape, and charge can be influential)"
108, Not only ,is a,"rterial blood pressure 6– 10 mmHg lower in females than males prior to menopause [ 95], but, from a more limited  study, capillary pressures are 2 mmHg lower in females than males [ 111]"
109," The net driving  force for fluid and solute, the difference in these two values, appears to favor filtration in  females over males; this conclusion ",is a,nother thing that needs to be evaluated in vivo
110,  Th,is a,"ppears to be also the case for vascular endothelial growth factor (VEGF) [ 8, 10], a  potent mediator of permeability"
111, The conclusion of the study was that whereas LBNP ,is a," suitable  intervention to combat orthostatic changes in men, another approach needs to be designed  for women"
112," It is in the venules draining the capillary tree that the majority of white blood cell/ endothelial cell (WBC/EC) interactions are observed, and it is in these vessels, with their  lower hydrostatic pressure and relatively low flow rates, that increases in vascular leakage to  proteins as well as white cell diapedes",is a,re observed [ 105]
113," Sepsis results in loss of barrier integrity and, like inflammation, ",is a,ccompanied by increases  in WBC/EC interactions
114, Th,is a,"pparent “noise” likely reflects the  early point in time of this research as all the systems described actually are multifactorial  and most of the factors in health, no less disease, have yet to be studied equally in males and  females"
115, Early pregnancy changes in  hemodynamics and volume homeostas,is a,re consecutive adjustments triggered by a primary fall in  systemic vascular tone
116, Sex differences and the effects of sex hormones on hemostas,is a,nd  vascular reactivity
117,"Santimone I, Di Castelnuovo A, De Curt",is a,", Spinelli M, Cugino D, Zito F, Donati MB, Cerletti C, De Gaetano G, Iacoviello L, Cuore-sano A, Paolo G"
118, The microvessels are also the sites most likely to  experience changes in function early in ,the development of," numerous acute life-threatening  conditions such as sepsis and disseminated intravascular coagulation (DIC) [ 28, 36, 68] to  chronic diseases spanning from diabetes, obesity, and Alzheimer’s to heart failure [ 22, 41,  52, 67, 82, 113]"
119, Plasma levels of VEGF are higher in men than women and  are correlated with ,the development of," atherosclerosis [ 62], a disease process shown to  occur more frequently in males"
120, It was determined ,Using a," pharmacological approach that the age- related reduction in ET-1 response in males was mediated by ETA signaling pathways, while  in females it was the ETB signaling pathways that mediated the attenuated ET-1 contractility  with age"
121, The microvessels are also the sites most likely to  experience changes in function early in the development of numerous acute life-threatening  conditions such as seps,is an,"d disseminated intravascular coagulation (DIC) [ 28, 36, 68] to  chronic diseases spanning from diabetes, obesity, and Alzheimer’s to heart failure [ 22, 41,  52, 67, 82, 113]"
122," The net driving  force for fluid and solute, the difference in these two values, appears to favor filtration in  females over males; this conclusion ",is an,other thing that needs to be evaluated in vivo
123, Sex differences and the effects of sex hormones on hemostas,is an,d  vascular reactivity
124, Arterioles in mammals are  <100 μm in diameter (in situ resting tone ,results in, diameters ranging between 15 and 40  μm) [ 97]
125, Surgical cessation of ovarian function in adult  female swine also ,results in," loss of meningeal microvascular barrier to fluorescently labeled  protein [ 30]; replacement of estrogen in a pulsed dose (estrogen patches) restored barrier  function (and changes in vessel architecture), whereas flat dose estrogen replacement was  not effective [ 31]"
126, It is well known that the  state of pregnancy ,results in," profound changes in fluid distributions with resulting changes  in hemodynamics [ 18, 80]"
127, Sepsis ,results in," loss of barrier integrity and, like inflammation, is accompanied by increases  in WBC/EC interactions"
128, The higher protein content of plasma in the males  ,results in, a higher oncotic protein force that will offset the higher fluid movement out of the  capillaries by Pcap in males
129, Venules are also the site of  integrin expression by EC in response to cytokines that ,promote," WBC/EC interactions [ 20,  87]"
130," An important  consideration pointed out by Barnes [ 7] is that when sex differences in MAP and vascular  architecture are considered along with the differences in responses to hypercapnia, cerebral  blood flow in young women ",is actually, lower than age-matched men
131, Constituents of the Microvasculature Multiple definitions of the “microvasculature” exist ,Based on, size and anatomical location  [105]
132, ,analysis of," protein clearing into the suffusate demonstrated lower  total protein clearance and no difference albumin clearance, for males and females,  respectively"
133, Diabetes as a risk factor for stroke in women compared  with men: a systematic review and meta-,analysis of," 64 cohorts, including 775,385 individuals and  12,539 strokes"
134, The degree of  heterogeneity reflects not only where in the vascular system (both organ and anatomical  location) [ 96] the EC are ,located," but also where within the microvascular network the EC  reside [ 2, 117] and the sex of host [ 5, 54, 123]"
135," In the  cerebrovasculature, sex differences ",have been described, with respect to vascular anatomy  [21] and also pharmacology [ 60]
136, A  well-functioning barrier exists in a state ,analogous to," arteriolar tone — wherein permeability  can increase or decrease in response to changes in tissue demand and environment [ 43, 47]"
137, The number of platelets tends to be higher in females than  males ,suggesting a, higher tendency for formation of clots in females than males
138," Elevated resistance, of course,  ",leads to, increased systemic blood pressure upstream of the arterioles and reduction of blood  flow and hydrostatic pressure in the exchange microvessels downstream from the arterioles
139, These cells  are ,referred to," in the early literature as Rouget cells and discussed heavily by Krogh [ 65],  with respect to their roll in participating in the regulation of capillary blood flow"
140, Author Manuscript Author Manuscript Author Manuscript Author Manuscript Sexual Dimorphisms in EC Phenotype that Influences Function EC in culture are commonly ,referred to, as taking on a “cobblestone” morphology
141, ,an association, between gene  expression and better survival in female mice following myocardial infarction
142, What work has been done and is now underway makes it clear  that ignoring sex will ,lead to, misunderstanding of the basis of vascular homeostasis or how  it is modified in whichever sex is not being studied
143,  Arteriolar constriction and dilation ,lead to," fine, variable control of blood flow to and within  the microvascular network"
144," As capillaries lie downstream of the arterioles, changes in  arteriolar tone also ",lead to, control of the amount of materials delivered to the capillaries and Huxley and Kemp Page 2 Adv Exp Med Biol 
145, EC are ,involved in," not  only control of barrier function but also participate significantly in immune responses,  inflammation, thrombosis, vascular remodeling, and regulation of arteriolar vessel tone"
146, Human cells ,involved in, atherosclerosis  have a sex
147, These vessels and the fluid they produced  were again forgotten ,Until, the Italian anatomist Gasparo Asellius published his work  (Gaspare [ 27]) almost a millennium after the systemic vasculature was described
148, This consideration of  multiple variables controlled by microvascular cerebral vessel function is especially  important as a reduced response to hypercapnia is ,associated with," elevated risk of stroke and  increased cognitive decline, two identified sexually dimorphic risk factors [ 78]"
149, Pulmonary microvascular albumin leak is  ,associated with, endothelial cell death in murine sepsis-induced lung injury in vivo
150,"  In contrast, CHD in males is a macrovascular disease ",characterized by, the presence of  coronary occlusion and deposition of plaque [ 23]
151," In male mice, 30 min of ischemia followed by 90 min of reperfusion was  ",characterized by, a loss of intestinal epithelial barrier integrity that paralleled increased  endothelial/leukocyte interactions and reduction in blood flow resulting from a reduction in  flow rate and the number of capillaries perfused
152," Its  tubular structures, the arterioles, capillaries, and venules, perform ",The majority of, the  “work
153, The conclusion from ,The majority of," studies is  that the adaptation is a successive process of first increasing arteriolar tone to protect the  downstream vessels from increases in capillary pressure, followed by structural remodeling  of the arteriolar wall replacing VSM with matrix to maintain a fixed reduction in diameter,  and finally vessel pruning (rarefaction)"
154, Venules ,The majority of," vascular volume resides in the venous component of the microvasculature,  and fluid exchange occurs predominantly across the capillaries"
155, It is in the venules draining the capillary tree that ,The majority of," white blood cell/ endothelial cell (WBC/EC) interactions are observed, and it is in these vessels, with their  lower hydrostatic pressure and relatively low flow rates, that increases in vascular leakage to  proteins as well as white cell diapedesis are observed [ 105]"
156, Most  recently the notion that pericyte contraction could influence blood flow ,within the, capillary  bed has re-emerged in discussion of the capillary no-reflow following ischemic insult in both  the brain [ 37] and the heart [ 85]
157, ,within the, microvascular network are several orders of capillaries
158, The degree of  heterogeneity reflects not only where in the vascular system (both organ and anatomical  location) [ 96] the EC are located but also where ,within the," microvascular network the EC  reside [ 2, 117] and the sex of host [ 5, 54, 123]"
159, ,"To date,"," though, no studies have focused on sex  differences in pericyte function or dysfunction"
160, Many of the  ,identified, sex differences are subtle and easily ignored
161, Although the features presently ,identified,"  to “have sex” range from differences in growth, morphology, protein expression, and intracellular  signaling, males and females alike achieve homeostasis, likely by different means"
162," This consideration of  multiple variables controlled by microvascular cerebral vessel function is especially  important as a reduced response to hypercapnia is associated with elevated risk of stroke and  increased cognitive decline, two ",identified, sexually dimorphic risk factors [ 78]
163," Among the factors implicated in this difference are estrogen  and its interactions with EC and WBC [ 83], estrogen receptor distribution [ 106], sex  differences in glucocorticoid action [ 17], and inflammatory status [ 9], to name but a few  ",identified, factors
164,  Diagram of sexually dimorphic constituents ,identified, in male and female humans  influencing the three primary functions of the microvasculature: 1
165,  Mammalian capillary diameter ,across the," capillary network ranges from 3 to 5 μm, and the  EC thickness in areas away from the nucleus ranges from 0"
166, Exchange is driven by gradients in pressure driving fluid and  gradients in concentration driving solute ,across the, wall [ 105]
167, The amount of fluid or solute moved ,across the," endothelial barrier is a function of the  architecture of the pathways through and between the endothelial cells, the surface area for  exchange, and the physicochemical properties of the barrier media (including the glycocalyx  at the blood/EC interface and the extracellular matrix at the luminal and abluminal surfaces,  respectively) and of the moving material (where size, shape, and charge can be influential)"
168," Venules The majority of vascular volume resides in the venous component of the microvasculature,  and fluid exchange occurs predominantly ",across the, capillaries
169,1 illustrates a selection of sexually dimorphic features  ,across the," microvasculature from the arterioles regulating blood flow into the exchange  vessels; the capillaries where gas, fluid, and solute move between tissue and the circulating  blood; and the venules where inflammatory processes occur"
170," Reexamination of Testosterone, Dihydrotestosterone, Estradiol and Estrone Levels ",across the,  Menstrual Cycle and in Postmenopausal Women Measured by Liquid Chromatography Tandem Mass Spectrometry
171, Cross sections of fixed capillaries and  venules ,often, show pericyte foot processes in close proximity to the endothelial junctions of  vessels that display a transient loss of barrier function in response to agents such as  histamine and display massive endothelial gaps at times when permeability has returned  back to normal levels [ 125]
172," In human studies of exercise, the subjects were ",often, young males in  a medical school or the military
173, While we ,often, focus on the pathophysiology of loss of barrier  function (e
